Comment,Designator,Footprint,LCSC Part #
4k7,R10,R0603,C17673
LED_G,LED_G,0805,C2297
LED_R,LED_R,0805,C2296
1x6P,SV1,1x6P,C5333441
10uF,C3,C0805,C15850
10uH,L1,FXL0630-100-M,C167223
16k,R4,R0805,C17490
22uF,C5,C0805,C45783
100nF,C1 C6,C0805,C49678
120R,R3,R0603,C22787
180k,R5,R0603,C22827
220nF,C2,C0805,C5378
250mR,RS1 RS2,R1206,C160921
AO3401A,Q1,MICRO3,C15127
B2B-XH-A-R(LF)(SN),BAT,JST-XH-02-PACKAGE-LONG-PAD,C495685
SLM6900,IC1,TSSOP14,C388595
SS54,D1 D2,SMA,C22452
